location_key;date;country_code;country_name;new_confirmed;new_deceased;cumulative_confirmed;cumulative_deceased;cumulative_vaccine_doses_administered;population;population_male;population_female;population_rural;population_urban;population_density;human_development_index;population_age_00_09;population_age_10_19;population_age_20_29;population_age_30_39;population_age_40_49;population_age_50_59;population_age_60_69;population_age_70_79;population_age_80_and_older;gdp_usd;gdp_per_capita_usd;latitude;longitude;area_sq_km;smoking_prevalence;diabetes_prevalence;infant_mortality_rate;nurses_per_1000;physicians_per_1000;average_temperature_celsius;minimum_temperature_celsius;maximum_temperature_celsius;rainfall_mm;relative_humidity;population_largest_city;area_rural_sq_km;area_urban_sq_km;life_expectancy;adult_male_mortality_rate;adult_female_mortality_rate;pollution_mortality_rate;comorbidity_mortality_rate;new_recovered;cumulative_recovered;nivel_recuperacion;mes;median_age
AR;2021-01-31;AR;Argentina;3915,0;148,0;1961792,0;51649,0;167611,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;16,61;13,84;21,93;4,43;83,76;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-01-01;4457455,11
AR;2021-02-01;AR;Argentina;8937,0;161,0;1970729,0;51810,0;176063,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;17,51;13,69;21,27;12,22;82,62;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-02-01;4457455,11
AR;2021-02-02;AR;Argentina;9149,0;161,0;1979878,0;51971,0;186296,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;18,53;14,35;23,09;7,29;80,69;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-02-01;4457455,11
AR;2021-02-03;AR;Argentina;8659,0;154,0;1988537,0;52125,0;197780,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;20,5;12,54;26,12;0,73;66,22;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-02-01;4457455,11
AR;2021-02-04;AR;Argentina;8113,0;165,0;1996650,0;52290,0;209559,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;22,23;12,19;28,42;0,74;57,06;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-02-01;4457455,11
AR;2021-02-05;AR;Argentina;7688,0;166,0;2004338,0;52456,0;223224,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;23,17;12,85;29,46;0,0;58,85;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-02-01;4457455,11
AR;2021-02-06;AR;Argentina;5120,0;147,0;2009458,0;52603,0;227709,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;24,52;15,19;30,81;0,0;58,01;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-02-01;4457455,11
AR;2021-02-07;AR;Argentina;2910,0;158,0;2012368,0;52761,0;228279,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;25,75;16,38;31,64;0,0;55,24;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-02-01;4457455,11
AR;2021-02-08;AR;Argentina;7383,0;120,0;2019751,0;52881,0;238001,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;19,25;15,33;30,06;1,17;83,42;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-02-01;4457455,11
AR;2021-02-09;AR;Argentina;7761,0;138,0;2027512,0;53019,0;246347,0;44938712,0;19523766,0;20593330,0;3599141,0;41339571,0;16,52;0,82;6718871,0;7045513,0;6430658,0;5777148,0;4507125,0;3911943,0;2914251,0;1817557,0;994030,0;449663446954,0;10006,0;-34,0;-64,0;2780400,0;21,8;5,9;8,8;2,6;3,99;19,14;14,4;22,78;7,0;79,98;15057273,0;2690269,0;55032,0;76,52;147,09;79,48;26,6;15,8;0,0;0,0;Bajo;2021-02-01;4457455,11
